"Rank","Category","Product Name","Product Description","Rating","Price"
1,"Accessories and Supplies","Datacolor Spyder Print - Advanced Data Analysis and Calibration Tool for Optimal Print Results, Perfect for Photographers, Graphic Designers, and Printing Professionals  ",NA,2.9,332.99
2,"Accessories and Supplies",NA,NA,NA,349
3,"Accessories and Supplies",NA,NA,NA,NA
4,"Accessories and Supplies",NA,NA,NA,NA
5,"Accessories and Supplies",NA,NA,NA,NA
1,"Camera and Photo","GoPro HERO12 Waterproof Action Camera Dive Kit with 5.3K60 UHD Video, 27MP HDR Photos - Bundle with Protective Housing, Video Light Pack, Camera Tray, Double Clip, 64GB microSD Card  ",NA,5,39.99
2,"Camera and Photo","GoHZQ 1080p Webcam Streaming Camera Webcam for PC with Built-in Microphone & Privacy Cover Tripod & USB-C Adapter- for Twitch/Zoom/Skype/Teams etc, Conferencing and Video Calling, White  ",NA,5,349
3,"Camera and Photo","Kids Camera Instant Print,1080P Kids Instant Cameras for Kids That Print Photos, Christmas Birthday Gifts for Girls Age 3-12, Toddler Camera Toy for 3 4 5 6 7 8 9 10 Year Old Boys with SD Card (Blue)  ",NA,4.6,120.99
4,"Camera and Photo","Kids Instant Print Camera, 3.0-Inch HD Screen 32MP Photo Instant Digital Camera Christmas Birthday Gifts Toys for Toddle Children Girls Boys Age 3-12 - Blue  ",NA,4.5,332.99
5,"Camera and Photo","EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam, 90°FOV Computer Camera, Plug and Play USB Webcam for Online Calling/Conferencing, Zoom/Skype/Facetime/YouTube, Laptop/PC  ",NA,4.3,16.99
1,"Car and Vehicle Electronics",NA,NA,NA,NA
2,"Car and Vehicle Electronics",NA,NA,NA,NA
3,"Car and Vehicle Electronics",NA,NA,NA,NA
4,"Car and Vehicle Electronics",NA,NA,NA,NA
5,"Car and Vehicle Electronics",NA,NA,NA,NA
1,"Cell Phones and Accessories",NA,NA,NA,NA
2,"Cell Phones and Accessories",NA,NA,NA,NA
3,"Cell Phones and Accessories",NA,NA,NA,NA
4,"Cell Phones and Accessories",NA,NA,NA,NA
5,"Cell Phones and Accessories",NA,NA,NA,NA
1,"Computers and Accessories","Logitech 720p Webcam Pro 9000  ",NA,4.3,NA
2,"Computers and Accessories",NA,NA,NA,NA
3,"Computers and Accessories",NA,NA,NA,NA
4,"Computers and Accessories",NA,NA,NA,NA
5,"Computers and Accessories",NA,NA,NA,NA
